engine,P@5,P@10,R@5,R@10,NDCG@5,NDCG@10
Random,0.009677419354838712,0.009677419354838712,3.421776643765438e-05,0.00034897100744771584,0.011656880203950833,0.010885039714980853
Popularity,0.07096774193548387,0.06774193548387097,0.0004624091350848369,0.0007370273818548221,0.07343784629045393,0.07030571306728443
BM25,0.2903225806451613,0.23548387096774193,0.02209744162530849,0.03376442271536983,0.312874938932069,0.2669807424064056
TF-IDF,0.3387096774193548,0.27741935483870966,0.02654326270228472,0.03900432966955489,0.37511277856629427,0.32060381802028004
MiniLM-mean,0.2032258064516129,0.19516129032258064,0.013468112378817088,0.02397438032629541,0.20152403322030524,0.19656959718090386
MiniLM-maxsim,0.2709677419354839,0.2306451612903226,0.022939865063524835,0.03734990695230459,0.28627186562789575,0.252629773499508
SPECTER2-mean,0.14516129032258066,0.1435483870967742,0.008026222925513898,0.017716088456996272,0.147497606774744,0.14587422843045614
SPECTER2-maxsim,0.29677419354838713,0.2241935483870968,0.024469740812606715,0.03640335002547049,0.31747980389985114,0.25941070739377536
