A,B,W,p,r,mediana_różnicy,p_holm
TF-IDF,Popularity,124.0,2.6644740742857397e-07,0.713539698781273,0.25180335130234954,2.1315792594285918e-06
BM25,Popularity,133.0,1.842320726048098e-06,0.6813896818837314,0.1873330529382392,1.2896245082336686e-05
SPECTER2-maxsim,SPECTER2-mean,325.0,0.00019260808955856912,0.5027446288555164,0.11635792491106609,0.0011556485373514147
TF-IDF,BM25,364.5,0.001887430717994763,0.42682328006921755,0.07139757201806865,0.009437153589973815
MiniLM-maxsim,TF-IDF,489.0,0.0045453759620017326,0.372591265396019,-0.06784272269558317,0.01818150384800693
SPECTER2-maxsim,TF-IDF,463.0,0.010103714346407527,0.3468373057497607,-0.04621529639727115,0.030311143039222582
MiniLM-maxsim,MiniLM-mean,542.5,0.08505873020284915,0.23434045184757205,0.044488965315862584,0.1701174604056983
SPECTER2-maxsim,MiniLM-maxsim,683.0,0.6084305043132822,0.06971628442465268,0.0,0.6084305043132822
